ipni_id,accepted_name,genera,number_of_regions,region,lifeform_category ,climate_description,seedbank_conserved,iucn_assessed,redlist_category,threat_pred,threat_prediction_prob
649826-1,Paphiopedilum sanderianum,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.731495047
932349-1,Paphiopedilum sangii,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.936008513
934396-1,Paphiopedilum schoseri,Paphiopedilum,2,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.895646681
1020672-1,Paphiopedilum sugiyamanum,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.903028603
649841-1,Paphiopedilum sukhakulii,Paphiopedilum,1,Indo-China,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.951343983
906799-1,Paphiopedilum supardii,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.902930851
77079743-1,Paphiopedilum thaianum,Paphiopedilum,1,Indo-China,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.964064465
1006583-1,Paphiopedilum tranlienianum,Paphiopedilum,2,China,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.894287914
898355-1,Paphiopedilum urbanianum,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.96578843
649849-1,Paphiopedilum victoria-mariae,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.831232125
649850-1,Paphiopedilum victoria-regina,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.831232125
1005602-1,Paphiopedilum vietnamense,Paphiopedilum,1,Indo-China,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.956183286
1018131-1,Paphiopedilum wenshanense,Paphiopedilum,1,China,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.927181401
649862-1,Paphiopedilum wentworthianum,Paphiopedilum,1,Papuasia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.930440049
649922-1,Pecteilis triflora,Pecteilis,4,Indian Subcontinent,herbaceous perennial,subtropical,No,Yes,Critically Endangered,not threatened,0.184018103
