ipni_id,accepted_name,genera,number_of_regions,region,lifeform_category ,climate_description,seedbank_conserved,iucn_assessed,redlist_category,threat_pred,threat_prediction_prob
643235-1,Maxillaria aciantha,Maxillaria,12,Mexico,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.076513829
318676-2,Maxillaria acostae,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50497705
643238-1,Maxillaria acuminata,Maxillaria,4,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.087621495
154924-2,Maxillaria adendrobium,Maxillaria,9,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.077374041
154925-2,Maxillaria adolphi,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50497705
154926-2,Maxillaria adscendens,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
154927-2,Maxillaria aequiloba,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50593111
154928-2,Maxillaria affinis,Maxillaria,3,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.209133194
643248-1,Maxillaria aggregata,Maxillaria,5,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.03881963
643249-1,Maxillaria alata,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.413746201
643250-1,Maxillaria alba,Maxillaria,21,Mexico,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.01634675
643251-1,Maxillaria albata,Maxillaria,3,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.077776645
154930-2,Maxillaria albiflora,Maxillaria,5,Caribbean,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.0842599
154931-2,Maxillaria alfaroi,Maxillaria,1,Central America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.763570117
154932-2,Maxillaria allenii,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.507861275
643256-1,Maxillaria alpestris,Maxillaria,5,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.038825561
290417-2,Maxillaria alticola,Maxillaria,6,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.021143715
302020-2,Maxillaria amabilis,Maxillaria,1,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.861579918
154934-2,Maxillaria amblyantha,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
60470231-2,Maxillaria amesiana,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.552358644
77154940-1,Maxillaria amplifoliata,Maxillaria,4,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.237852482
643263-1,Maxillaria anatomorum,Maxillaria,2,Northern South America,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.334483111
154936-2,Maxillaria anceps,Maxillaria,6,Mexico,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.446904346
77154971-1,Maxillaria anceschiana,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50593111
77098212-1,Maxillaria angelae,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.688693684
154937-2,Maxillaria angustibulbosa,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.698000347
290415-2,Maxillaria angustissima,Maxillaria,5,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.316210565
154940-2,Maxillaria antioquiana,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
77155173-1,Maxillaria antioquiensis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
154941-2,Maxillaria appendiculoides,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.572944033
643272-1,Maxillaria arachnites,Maxillaria,4,Caribbean,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.105316306
154942-2,Maxillaria arachnitiflora,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50497705
643274-1,Maxillaria arbuscula,Maxillaria,3,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.110287645
77154850-1,Maxillaria archilarum,Maxillaria,1,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.92332605
643275-1,Maxillaria argyrophylla,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.210768417
77100182-1,Maxillaria atrovinacea,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.688693684
330745-2,Maxillaria atwoodiana,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.564136774
154945-2,Maxillaria augustae-victoriae,Maxillaria,3,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.240741097
154948-2,Maxillaria aurea,Maxillaria,7,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.01316499
20004846-1,Maxillaria aureoglobula,Maxillaria,4,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.408475958
154950-2,Maxillaria auyantepuiensis,Maxillaria,6,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.068770753
77154947-1,Maxillaria avis,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.407858739
322879-2,Maxillaria azulensis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.782412163
643292-1,Maxillaria barbosae,Maxillaria,2,Brazil,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.336248712
322880-2,Maxillaria batemanii,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.407789563
77100184-1,Maxillaria baudoensis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.688693684
77154854-1,Maxillaria beckendorfii,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.787446482
300185-2,Maxillaria bennettii,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.782222358
77133749-1,Maxillaria betancurii,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.692553601
77108997-1,Maxillaria bettymooreana,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.787446482
154952-2,Maxillaria bicallosa,Maxillaria,5,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.102173035
154953-2,Maxillaria binotii,Maxillaria,1,Brazil,epiphyte,seasonally dry tropical,No,No,Not Assessed,threatened,0.489952763
154954-2,Maxillaria biolleyi,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.431142925
322881-2,Maxillaria bocazensis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.782412163
154955-2,Maxillaria bolivarensis,Maxillaria,8,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.050627891
154956-2,Maxillaria boliviensis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.606386396
154957-2,Maxillaria bolleoides,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
303010-2,Maxillaria bomboizensis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.90383528
154959-2,Maxillaria brachybulbon,Maxillaria,11,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.056628023
154961-2,Maxillaria brachypetala,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.67364437
154962-2,Maxillaria brachypoda,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50593111
154963-2,Maxillaria bracteata,Maxillaria,3,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.408646335
154964-2,Maxillaria bradei,Maxillaria,6,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.126735148
154965-2,Maxillaria bradeorum,Maxillaria,3,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.353057732
154966-2,Maxillaria brasiliensis,Maxillaria,3,Brazil,epiphyte,seasonally dry tropical,No,No,Not Assessed,not threatened,0.322133235
643320-1,Maxillaria brevifolia,Maxillaria,5,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.038825561
290414-2,Maxillaria brevilabia,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50497705
154971-2,Maxillaria brevis,Maxillaria,1,Brazil,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.526226689
643325-1,Maxillaria breviscapa,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.474395032
77155188-1,Maxillaria briggittheae,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.67364437
307876-2,Maxillaria buchtienii,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.606386396
305075-2,Maxillaria burgeri,Maxillaria,1,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.861579918
322883-2,Maxillaria burtonii,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.782412163
1008062-1,Maxillaria cacaoensis,Maxillaria,1,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.861579918
329107-2,Maxillaria cachacoensis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.903941177
643331-1,Maxillaria caespitifica,Maxillaria,11,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.083758101
309183-2,Maxillaria calantha,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.67364437
77154946-1,Maxillaria calcarata,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.431121495
77091125-1,Maxillaria calimaniana,Maxillaria,1,Brazil,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.710123759
643335-1,Maxillaria callichroma,Maxillaria,2,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.357662603
643336-1,Maxillaria caloglossa,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.479012728
154975-2,Maxillaria camaridioides,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
154976-2,Maxillaria campanulata,Maxillaria,3,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.354883899
329108-2,Maxillaria canarensis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.903941177
77102501-1,Maxillaria canarina,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.784856983
643340-1,Maxillaria candida,Maxillaria,3,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.101408388
154977-2,Maxillaria caparaoensis,Maxillaria,1,Brazil,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.586184488
154978-2,Maxillaria caquetana,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
643344-1,Maxillaria carinulata,Maxillaria,5,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.102173035
20004847-1,Maxillaria carolii,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.685761513
77133585-1,Maxillaria carrilloi,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.692553601
154980-2,Maxillaria cassapensis,Maxillaria,5,Northern South America,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.072382729
154981-2,Maxillaria casta,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.606386396
290412-2,Maxillaria caucae,Maxillaria,1,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.628735908
154982-2,Maxillaria caucana,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
315858-2,Maxillaria caveroi,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.782222358
313482-2,Maxillaria cedralensis,Maxillaria,1,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.861579918
77092811-1,Maxillaria cesarfernandezii,Maxillaria,1,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.680007205
313898-2,Maxillaria chacoensis,Maxillaria,3,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.339828613
303011-2,Maxillaria chicana,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.90383528
77100792-1,Maxillaria chimalapana,Maxillaria,1,Mexico,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.930427497
301137-2,Maxillaria chionantha,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.633638184
643355-1,Maxillaria chlorantha,Maxillaria,4,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.08603894
315928-2,Maxillaria christensonii,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.782222358
643357-1,Maxillaria christobalensis,Maxillaria,5,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.105663276
30092346-2,Maxillaria chrysantha,Maxillaria,3,Brazil,epiphyte,seasonally dry tropical,No,No,Not Assessed,not threatened,0.270281229
974301-1,Maxillaria chrysocycnoides,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.834979853
154997-2,Maxillaria cleistogama,Maxillaria,7,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.098417131
154998-2,Maxillaria cobanensis,Maxillaria,5,Mexico,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.3220416
154999-2,Maxillaria coccinea,Maxillaria,5,Caribbean,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.120772141
320817-2,Maxillaria colemanii,Maxillaria,1,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.676918416
77112463-1,Maxillaria colombiana,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.691925548
643369-1,Maxillaria colorata,Maxillaria,4,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.112005548
982015-1,Maxillaria compacta,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50593111
289900-2,Maxillaria concavilabia,Maxillaria,3,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.244423229
329109-2,Maxillaria condorensis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.903941177
155009-2,Maxillaria conduplicata,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50497705
155011-2,Maxillaria confusa,Maxillaria,7,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.231771079
155012-2,Maxillaria connellii,Maxillaria,3,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.135854419
155014-2,Maxillaria convencionis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
984957-1,Maxillaria cordyline,Maxillaria,3,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.269092394
155015-2,Maxillaria cornuta,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.583454569
280605-2,Maxillaria costaricensis,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50497705
155018-2,Maxillaria cozieriana,Maxillaria,1,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.708284815
643387-1,Maxillaria crassifolia,Maxillaria,23,Southeastern U.S.A.,epiphyte,seasonally dry tropical,No,No,Not Assessed,not threatened,0.01842719
77120270-1,Maxillaria crispiloba,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.691925548
155021-2,Maxillaria crocea,Maxillaria,2,Brazil,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.183422571
155023-2,Maxillaria croceorubens,Maxillaria,2,Caribbean,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.56672742
77151593-1,Maxillaria cruentata,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.693124806
305047-2,Maxillaria cryptobulbon,Maxillaria,5,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.215170849
77154935-1,Maxillaria cryptocentroides,Maxillaria,3,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.289332377
643395-1,Maxillaria ctenostachys,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.419181452
643396-1,Maxillaria cucullata,Maxillaria,11,Mexico,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.159194948
77110979-1,Maxillaria culebrica,Maxillaria,1,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.750099706
643398-1,Maxillaria cuneiformis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.413746201
643399-1,Maxillaria curtipes,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.550564493
60445586-2,Maxillaria curvicolumna,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.638311131
155026-2,Maxillaria cuzcoensis,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.488104813
314624-2,Maxillaria cymbidioides,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.90383528
304385-2,Maxillaria dalessandroi,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.90383528
1008063-1,Maxillaria darienensis,Maxillaria,1,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.744438427
77155182-1,Maxillaria deherae,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.782222358
155029-2,Maxillaria dendrobioides,Maxillaria,2,Central America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.502820289
77102503-1,Maxillaria deniseae,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.689245448
643407-1,Maxillaria densa,Maxillaria,10,Mexico,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.125378844
643408-1,Maxillaria densifolia,Maxillaria,3,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.086525784
643410-1,Maxillaria desvauxiana,Maxillaria,12,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.060412653
982013-1,Maxillaria deuterocaquetana,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
982021-1,Maxillaria deuteropastensis,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.496670619
155030-2,Maxillaria diamantensis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
77102504-1,Maxillaria dichaeoides,Maxillaria,3,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.470929844
155031-2,Maxillaria dichotoma,Maxillaria,6,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.179652591
155032-2,Maxillaria dichroma,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.484854245
315859-2,Maxillaria dillonii,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.690433913
77155010-1,Maxillaria disciflora,Maxillaria,1,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.740902965
643414-1,Maxillaria discolor,Maxillaria,15,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.013873983
155033-2,Maxillaria disticha,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.407858739
155034-2,Maxillaria diuturna,Maxillaria,3,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.464594692
155035-2,Maxillaria divaricata,Maxillaria,3,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.35182224
643418-1,Maxillaria divitiflora,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.77859654
77154876-1,Maxillaria dodsonii,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.903941177
306639-2,Maxillaria dolichophylla,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.491758769
77110980-1,Maxillaria donaldeedodii,Maxillaria,1,Caribbean,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.915339638
301430-2,Maxillaria dressleriana,Maxillaria,3,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.593594059
77154877-1,Maxillaria dunstervilleorum,Maxillaria,2,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.527486806
643420-1,Maxillaria eburnea,Maxillaria,1,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.392676233
643422-1,Maxillaria echinophyta,Maxillaria,1,Brazil,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.441229051
155039-2,Maxillaria ecuadorensis,Maxillaria,3,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.340512052
77155180-1,Maxillaria egertoniana,Maxillaria,13,Mexico,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,not threatened,0.032843446
155040-2,Maxillaria elata,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
643425-1,Maxillaria elatior,Maxillaria,9,Mexico,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.159471217
155041-2,Maxillaria elegans,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
155042-2,Maxillaria elegantula,Maxillaria,3,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.269095508
77133586-1,Maxillaria elianae,Maxillaria,2,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.531126845
77155187-1,Maxillaria elluziae,Maxillaria,3,Brazil,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.097042514
302428-2,Maxillaria embreei,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.634714443
314625-2,Maxillaria encyclioides,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.634714443
643430-1,Maxillaria endresii,Maxillaria,3,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.382008826
155044-2,Maxillaria equitans,Maxillaria,8,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.068520566
77110973-1,Maxillaria erecta,Maxillaria,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.689513743
77155183-1,Maxillaria erikae,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.593684882
77070076-1,Maxillaria errata,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.68786289
155045-2,Maxillaria erubescens,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
77154936-1,Maxillaria escobarii,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.685761513
896584-1,Maxillaria estradae,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.690228832
155046-2,Maxillaria exaltata,Maxillaria,5,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.107113932
77154964-1,Maxillaria faecalis,Maxillaria,1,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.923597763
155047-2,Maxillaria falcata,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.431142925
155049-2,Maxillaria farinifera,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.561130623
77129091-1,Maxillaria farinosa,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.692553601
643439-1,Maxillaria ferdinandiana,Maxillaria,2,Brazil,epiphyte,seasonally dry tropical,No,No,Not Assessed,not threatened,0.244671097
77095161-1,Maxillaria ferruginea,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.638319996
320479-2,Maxillaria fimbriatiloba,Maxillaria,2,Northern South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.58730856
77102505-1,Maxillaria flabellata,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.784856983
155054-2,Maxillaria flava,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50497705
155055-2,Maxillaria fletcheriana,Maxillaria,4,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.168132466
643446-1,Maxillaria floribunda,Maxillaria,5,Northern South America,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.057641132
77098215-1,Maxillaria foetida,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.629253219
280606-2,Maxillaria foldatsiana,Maxillaria,2,Northern South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.598296283
155056-2,Maxillaria foliosa,Maxillaria,2,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.50497705
643449-1,Maxillaria fractiflexa,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.424397006
322801-2,Maxillaria fragrans,Maxillaria,1,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.744639592
77133750-1,Maxillaria fraudulenta,Maxillaria,3,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.472381074
322885-2,Maxillaria frechettei,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.782412163
982017-1,Maxillaria friderici-caroli,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.47901672
323052-2,Maxillaria friedrichsthalii,Maxillaria,10,Mexico,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.096908288
77142835-1,Maxillaria frigens,Maxillaria,1,Northern South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.740902965
77133587-1,Maxillaria fritzii,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.68786289
77154955-1,Maxillaria frontinoensis,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.639675455
643451-1,Maxillaria fucata,Maxillaria,3,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.269095508
643452-1,Maxillaria fuerstenbergiana,Maxillaria,1,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.563265187
155059-2,Maxillaria fulgens,Maxillaria,8,Central America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.10211815
155060-2,Maxillaria funicaulis,Maxillaria,4,Western South America,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.229979648
643457-1,Maxillaria furfuracea,Maxillaria,1,Brazil,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.359354439
77154941-1,Maxillaria fusae,Maxillaria,2,Western South America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.634933962
980757-1,Maxillaria galantha,Maxillaria,1,Central America,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.744438427
